Time,bits/s,MBytes/s
1572203475.9455583,419627613.75539815,52.45345171942477
1572203476.0462947,733027733.1391962,91.62846664239952
1572203476.1470337,745177362.6887937,93.14717033609921
1572203476.2477722,745877108.1732808,93.2346385216601
1572203476.348611,729861752.5863024,91.2327190732878
1572203476.4493415,741559666.1236941,92.69495826546175
1572203476.5500772,739941394.8166507,92.49267435208134
1572203476.650837,748995705.2443796,93.62446315554746
1572203476.7515676,732466815.7082474,91.55835196353092
1572203476.852303,731551818.0986142,91.44397726232678
1572203476.9525983,737777145.341197,92.22214316764962
1572203477.053333,738026599.6525164,92.25332495656455
1572203477.1540682,736407067.0690581,92.05088338363225
1572203477.2543426,740737256.8378315,92.59215710472893
1572203477.3545856,726389647.9043311,90.79870598804139
1572203477.4553163,724561615.6514798,90.57020195643499
1572203477.5560796,735523038.7528062,91.94037984410078
1572203477.6568344,719967810.3982811,89.99597629978513
1572203477.7576013,731383679.0329897,91.42295987912371
1572203477.8583314,722523155.077012,90.31539438462649
1572203477.9590678,723686122.8538362,90.46076535672952
1572203478.0598326,728365256.2556514,91.04565703195644
1572203478.160563,718794983.725402,89.84937296567526
1572203478.2613335,720500494.7629642,90.06256184537054
1572203478.3620703,713115204.5440013,89.13940056800017
1572203478.4628005,538659452.4223028,67.33243155278785
1572203478.5635417,509447916.97777486,63.68098962222185
1572203478.6638196,516245191.0221115,64.53064887776394
1572203478.7641292,493952272.5570141,61.74403406962677
1572203478.8643837,494748847.6807595,61.84360596009494
1572203478.96512,495418955.7592629,61.92736946990786
1572203479.065851,489348332.6298568,61.1685415787321
1572203479.1665864,492691340.03642,61.58641750455251
1572203479.2673268,482481707.4769108,60.31021343461385
1572203479.3680575,488313143.01853514,61.03914287731689
1572203479.4688234,481610416.19076145,60.20130202384518
1572203479.5695827,485593762.8855767,60.69922036069709
1572203479.6703131,489163138.7163652,61.14539233954565
1572203479.771065,483290570.17617327,60.41132127202165
1572203479.8717957,488029932.3189718,61.00374153987148
1572203479.9725618,485244464.5198512,60.6555580649814
1572203480.073298,484536249.018617,60.56703112732713
1572203480.4629364,96927114.16927764,12.115889271159704
1572203480.5637062,432453553.20710075,54.056694150887594
1572203480.664466,331429899.0924833,41.428737386560414
1572203480.7651963,329312160.8841972,41.164020110524646
1572203480.865932,329042154.11752456,41.13026926469056
1572203480.9666836,326622896.8433846,40.82786210542308
1572203481.0674305,332385988.6307888,41.5482485788486
1572203481.1681666,327727145.44296813,40.96589318037101
1572203481.268912,335083832.65469986,41.885479081837474
1572203481.369218,346287123.35969806,43.28589041996225
1572203481.4695575,347168067.52593535,43.39600844074192
1572203481.570299,348864049.33637524,43.60800616704691
1572203481.671034,356757245.2189324,44.594655652366555
1572203481.7712848,357933705.1147207,44.741713139340085
1572203481.871537,365627105.80757594,45.703388225946995
1572203481.972271,362814001.7798816,45.35175022248521
1572203482.073013,367622348.4156453,45.952793551955665
1572203482.1737442,377151078.6685444,47.14388483356805
1572203482.274528,370957383.5824734,46.36967294780918
1572203482.3752637,373200814.5872062,46.65010182340077
1572203482.475995,376536673.0659648,47.06708413324561
1572203482.576725,377135925.2708217,47.14199065885271
1572203482.6774664,374893391.33128226,46.86167391641028
1572203482.7782319,375023321.39475346,46.87791517434418
1572203482.8789623,380492013.4356464,47.5615016794558
1572203482.9793506,383475727.8564002,47.93446598205002
1572203483.0796213,383057119.9785432,47.8821399973179
1572203483.1803515,382130238.5947033,47.766279824337914
1572203483.2810822,385073392.0817619,48.13417401022024
1572203483.381369,382593467.4832372,47.82418343540465
1572203483.4837399,352141953.4339014,44.017744179237674
1572203483.58449,598610854.076469,74.8263567595586
1572203483.6852922,838926989.0426519,104.86587363033149
1572203483.786067,887424465.7082616,110.9280582135327
1572203483.8868504,437324308.4113968,54.665538551424596
1572203483.9875858,427319144.12862027,53.41489301607754
1572203484.0883589,422542857.7112993,52.81785721391241
1572203484.18909,432268575.6793918,54.033571959923975
