Time,bits/s,MBytes/s
1571626893.3525028,2387137495.5560236,298.39218694450295
1571626893.4532099,2822991601.064101,352.8739501330126
1571626893.5559616,2452518943.893005,306.56486798662553
1571626893.6566653,2196709080.617716,274.58863507721446
1571626893.757396,10431818090.648136,1303.9772613310167
1571626893.7893107,13010793908.264484,1626.3492385330605
1571626893.8612795,13154121474.638227,1644.2651843297785
1571626893.890201,11356862004.947744,1419.6077506184681
1571626893.9638994,11462120001.012812,1432.7650001266013
1571626893.9918244,12825719803.011696,1603.2149753764618
1571626894.064335,11703839153.349972,1462.9798941687466
1571626894.0922608,12972593399.231508,1621.5741749039387
1571626894.1645765,9837475480.057577,1229.6844350071972
1571626894.1944964,14234888849.518866,1779.3611061898584
1571626894.265307,9097774670.767923,1137.2218338459907
1571626894.2952268,13739536274.700687,1717.4420343375862
1571626894.3660376,10285109627.153515,1285.6387033941894
1571626894.400945,13304122185.136192,1663.015273142024
1571626894.5016036,2575307941.1763124,321.91349264703905
1571626894.60236,2518834966.8024287,314.8543708503036
1571626894.7030902,2544858572.831872,318.107321603984
1571626894.803796,2512284020.6285453,314.03550257856824
1571626894.904527,2510683752.9749303,313.83546912186625
1571626895.0052578,2472298072.37749,309.03725904718624
