Time,bits/s,MBytes/s
1571626893.3525028,2387137495.5560236,298.39218694450295
1571626893.4532099,2822991601.064101,352.8739501330126
1571626893.5559616,2452518943.893005,306.56486798662553
1571626893.6566653,2196709080.617716,274.58863507721446
1571626893.757396,23442611998.91262,2930.326499864077
1571626893.8612795,24510983479.58597,3063.8729349482464
1571626893.9638994,24287839804.024506,3035.979975503063
1571626894.064335,24676432552.581482,3084.5540690726853
1571626894.1645765,24072364329.576443,3009.0455411970556
1571626894.265307,22837310945.468613,2854.6638681835766
1571626894.3660376,23589231812.289707,2948.653976536213
1571626894.5016036,2575307941.1763124,321.91349264703905
1571626894.60236,2518834966.8024287,314.8543708503036
1571626894.7030902,2544858572.831872,318.107321603984
1571626894.803796,2512284020.6285453,314.03550257856824
1571626894.904527,2510683752.9749303,313.83546912186625
1571626895.0052578,2472298072.37749,309.03725904718624
