Time,bits/s,MBytes/s
1571626893.352503,2387137495.5560236,298.39218694450295
1571626893.45321,2822991601.064101,352.8739501330126
1571626893.5559616,2452518943.8930044,306.56486798662553
1571626893.6566653,2196709080.617716,274.58863507721446
1571626893.757396,10431818090.648136,1303.9772613310167
1571626893.8612797,13154121474.638227,1644.2651843297783
1571626893.9638994,11462120001.012812,1432.7650001266013
1571626894.0643353,11703839153.349972,1462.9798941687466
1571626894.1645765,9837475480.057577,1229.6844350071972
1571626894.265307,9097774670.767925,1137.2218338459907
1571626894.3660376,10285109627.153515,1285.6387033941892
