Time,bits/s,MBytes/s,MBits/s
1575051903.5974,848777020.9709728,106.09712762137161,848.7770209709729
1575051903.6974747,920250945.4044222,115.03136817555277,920.2509454044222
1575051903.7975867,921949678.5533582,115.24370981916978,921.9496785533582
1575051903.897684,922712611.160668,115.3390763950835,922.712611160668
1575051903.9977577,922161345.9660078,115.27016824575098,922.1613459660078
1575051904.0978417,921712759.2736218,115.21409490920274,921.7127592736219
1575051904.197926,922523514.4024124,115.31543930030155,922.5235144024124
1575051904.2980537,922341803.9551567,115.29272549439457,922.3418039551566
1575051904.3981493,921545802.6209819,115.19322532762274,921.5458026209819
1575051904.4982502,922371799.473358,115.29647493416975,922.371799473358
1575051904.5983632,921894751.2925459,115.23684391156824,921.894751292546
1575051904.6984758,921783357.8493354,115.22291973116694,921.7833578493355
1575051904.7985568,922431880.2545604,115.30398503182005,922.4318802545604
1575051904.898675,920762705.0778909,115.09533813473635,920.7627050778908
1575051904.9987965,922390156.1243765,115.29876951554706,922.3901561243765
1575051905.098919,922272182.1174564,115.28402276468205,922.2721821174564
1575051905.199011,921314779.1009682,115.16434738762104,921.3147791009683
1575051905.299126,920125057.6892273,115.01563221115342,920.1250576892273
1575051905.3992224,920667667.9272267,115.08345849090333,920.6676679272266
1575051905.4993258,921027718.7612466,115.1284648451558,921.0277187612464
1575051905.5993917,920321152.8706404,115.04014410883005,920.3211528706404
1575051905.699509,920238647.4472773,115.02983093090967,920.2386474472773
1575051905.7995858,919656460.1957653,114.95705752447067,919.6564601957654
1575051905.899691,919435084.9196464,114.9293856149558,919.4350849196464
1575051905.9997807,922203935.4026911,115.27549192533638,922.2039354026911
1575051906.0998857,920771991.5212854,115.09649894016067,920.7719915212854
1575051906.2000158,922702306.2067256,115.3377882758407,922.7023062067256
1575051906.3001075,922798388.0142636,115.34979850178296,922.7983880142637
1575051906.4001606,922190057.1902934,115.27375714878669,922.1900571902935
1575051906.5002692,922747039.9338043,115.34337999172553,922.7470399338042
1575051906.6003773,922030313.6672466,115.25378920840582,922.0303136672466
1575051906.7004855,922248705.1957486,115.28108814946856,922.2487051957485
1575051906.800573,922134282.1017463,115.26678526271829,922.1342821017463
1575051906.9006927,921773934.3535568,115.2217417941946,921.7739343535568
1575051907.000823,922755075.6504064,115.34438445630079,922.7550756504063
1575051907.100904,921865291.4482124,115.23316143102656,921.8652914482125
1575051907.2009866,922396698.1089487,115.29958726361859,922.3966981089487
1575051907.301069,921679802.5112345,115.20997531390432,921.6798025112346
1575051907.4011912,921927050.7365898,115.24088134207372,921.9270507365898
1575051907.501304,922464892.1764138,115.30811152205172,922.4648921764137
1575051907.601407,844643752.5206017,105.58046906507522,844.6437525206018
1575051907.7021322,629135786.7179941,78.64197333974927,629.1357867179942
1575051907.802261,556265581.7267466,69.53319771584331,556.2655817267465
1575051907.9031272,548583635.1724122,68.57295439655152,548.5836351724122
1575051908.00321,556404357.204532,69.55054465056651,556.4043572045321
1575051908.104193,547922006.828818,68.49025085360225,547.922006828818
1575051908.20428,556148851.6743588,69.51860645929486,556.1488516743589
1575051908.3053877,548749763.789571,68.59372047369638,548.749763789571
1575051908.405451,556377397.5886627,69.54717469858285,556.3773975886628
1575051908.5064979,548281173.9150106,68.53514673937632,548.2811739150105
1575051908.6066287,556628801.3293208,69.57860016616509,556.6288013293207
1575051908.7077658,547797605.5644759,68.47470069555949,547.7976055644759
1575051908.8078601,556821184.2498772,69.60264803123465,556.8211842498772
1575051908.908687,548616471.7282476,68.57705896603096,548.6164717282477
1575051909.008765,556188625.172823,69.52357814660287,556.188625172823
1575051909.1098413,548366084.0765543,68.54576050956929,548.3660840765543
1575051909.2098975,553977397.2864707,69.24717466080884,553.9773972864707
1575051909.3099966,554921907.0820581,69.36523838525726,554.921907082058
1575051909.4103546,547026318.3743674,68.37828979679591,547.0263183743673
1575051909.5104744,556894844.9031938,69.61185561289923,556.8948449031939
1575051909.6112788,548814547.8926532,68.60181848658166,548.8145478926533
1575051909.7113473,554858254.5320688,69.3572818165086,554.8582545320688
1575051909.8124342,549694156.8985972,68.71176961232466,549.6941568985973
1575051909.9125235,556709353.7677835,69.58866922097295,556.7093537677836
1575051910.0133293,549327780.9532727,68.66597261915908,549.3277809532726
1575051910.1134467,557042480.7763429,69.63031009704287,557.0424807763429
1575051910.2142413,549342082.8429364,68.66776035536705,549.3420828429364
1575051910.3143482,556502014.0086178,69.56275175107722,556.5020140086177
1575051910.415179,549489390.4784979,68.68617380981223,549.4893904784979
1575051910.5152495,556701025.3379807,69.58762816724759,556.7010253379807
1575051910.6162786,548044947.3192036,68.50561841490045,548.0449473192036
1575051910.7163446,555790249.1851668,69.47378114814586,555.7902491851669
1575051910.817465,549267098.0974157,68.65838726217696,549.2670980974157
1575051910.9175868,556664614.2829964,69.58307678537454,556.6646142829964
1575051911.018385,548851597.9443845,68.60644974304806,548.8515979443845
1575051911.1184788,557050151.4724839,69.63126893406049,557.0501514724839
1575051911.2192698,549103619.6298051,68.63795245372563,549.103619629805
1575051911.3215911,442923822.1672612,55.365477770907646,442.92382216726116
1575051911.4235258,307243062.61633694,38.40538282704212,307.24306261633694
1575051911.5254338,306778620.07798773,38.34732750974847,306.77862007798774
1575051911.6274118,307360424.6127989,38.42005307659987,307.36042461279897
1575051911.7293727,306953145.11624426,38.369143139530536,306.9531451162443
1575051911.831604,306189192.66342354,38.273649082927946,306.18919266342357
1575051911.9336357,306876065.87721366,38.359508234651706,306.87606587721365
1575051912.035656,306796915.4200004,38.34961442750005,306.7969154200004
