Time,bits/s,MBytes/s
1572203484.5836024,919468079.9425509,114.93350999281887
1572203484.6843376,906845963.0755069,113.35574538443834
1572203484.7851071,911308455.9976163,113.91355699970205
1572203484.8854208,911793124.7299359,113.97414059124199
1572203484.9861624,918716887.4256651,114.83961092820817
1572203485.086898,909764524.7582712,113.72056559478392
1572203485.1876345,913859970.9694467,114.23249637118082
1572203485.28837,910356240.7973995,113.79453009967497
1572203485.3891013,909767791.2616682,113.72097390770853
1572203485.4898796,916771696.6623623,114.59646208279528
1572203485.5906165,911339787.9650347,113.91747349562934
1572203485.6913517,913663094.4443524,114.20788680554404
1572203485.7920866,910004153.3186374,113.75051916482965
1572203485.8928173,915193279.2673469,114.39915990841834
1572203485.9935474,908780292.5686955,113.59753657108695
1572203486.0942786,917003322.3155969,114.62541528944963
1572203486.195009,919506309.7459941,114.93828871824925
1572203486.2954752,914170376.5001676,114.27129706252093
1572203486.3962107,907679564.7339686,113.45994559174606
1572203486.4969413,911421589.0961645,113.92769863702057
1572203486.5976772,912657316.630045,114.08216457875562
1572203486.6984134,911857088.519779,113.98213606497238
1572203486.799143,911782340.805084,113.9727926006355
1572203486.8998742,912011491.1762924,114.00143639703654
1572203487.0006044,910907914.0753336,113.86348925941671
1572203487.101335,915200608.9145485,114.40007611431857
1572203487.2020707,916928607.9790355,114.61607599737945
1572203487.3028016,908044942.4339482,113.50561780424351
1572203487.4035368,915219456.5719641,114.40243207149553
1572203487.5042677,914634737.0892446,114.32934213615556
1572203487.6050036,908176212.5323374,113.52202656654217
1572203487.7052839,913267653.6822124,114.15845671027655
1572203487.8058288,911337909.4075592,113.9172386759449
1572203487.9065824,915522723.5801204,114.44034044751507
1572203488.0073125,917050150.9628415,114.63126887035517
1572203488.1080437,907578229.5296364,113.44727869120453
1572203488.2087796,918291822.5763557,114.78647782204446
1572203488.309515,912087388.8301303,114.0109236037663
1572203488.4102573,913891344.3713503,114.23641804641878
1572203488.5109925,903633367.2015889,112.9541709001986
1572203488.8460786,25819557.866404597,3.227444733300574
1572203488.9477987,1346127107.0847073,168.26588838558843
1572203489.0481017,916388396.2294636,114.54854952868295
1572203489.1494324,913375715.6344178,114.17196445430224
1572203489.2501626,919159937.7445533,114.89499221806919
1572203489.350899,915573227.5509388,114.44665344386735
1572203489.4511814,902868599.4569211,112.85857493211512
1572203489.551478,919198799.4987681,114.899849937346
1572203489.6522427,904225761.2236779,113.02822015295976
1572203489.7529733,915589535.678633,114.44869195982912
1572203489.853704,914387121.2110534,114.29839015138168
1572203489.9544346,913749852.5151727,114.21873156439659
1572203490.0551648,910748915.4318877,113.84361442898597
1572203490.1558955,919682897.7514952,114.9603622189369
1572203490.256626,916209368.7587954,114.52617109484942
1572203490.357362,913506996.5596838,114.1883745699605
1572203490.4580922,908857116.8436203,113.60713960545255
1572203490.558823,624794363.01689,78.09929537711126
1572203490.6591966,915128393.7088916,114.3910492136115
1572203490.7594707,914255772.6918749,114.28197158648436
1572203490.8602016,914432787.5465131,114.30409844331413
1572203490.9609375,913789459.2649213,114.22368240811515
1572203491.0612226,914834176.553234,114.35427206915425
1572203491.1614964,915430475.7958528,114.4288094744816
1572203491.2622266,914528190.8799462,114.31602385999328
1572203491.3629572,914428816.5608207,114.3036020701026
1572203491.4636881,913141581.8388572,114.14269772985716
1572203491.5644188,915132532.9576613,114.39156661970765
1572203491.926451,132916109.81708728,16.614513727135908
1572203492.0271811,1182798572.6369445,147.8498215796181
1572203492.127418,891565819.9964322,111.44572749955401
1572203492.2281547,913725096.0880053,114.21563701100064
1572203492.3284912,914046959.7266432,114.2558699658304
1572203492.429222,914453337.1724608,114.3066671465576
1572203492.5299525,914651529.9874744,114.3314412484343
1572203492.6302385,915424941.2520458,114.42811765650572
1572203492.7305381,913927840.5326158,114.24098006657695
