Time,bits/s,MBytes/s
1572203471.272098,159223753.5012313,19.902969187653916
1572203471.3728359,1048549614.6736122,131.06870183420153
1572203471.6976213,66209735.5788494,8.276216947356176
1572203471.7983525,1197989327.7407792,149.74866596759742
1572203471.8990896,915100282.677295,114.38753533466186
1572203471.9994988,915103561.7575811,114.38794521969763
1572203472.1002293,914625797.9392843,114.32822474241054
1572203472.2009597,914892887.0691087,114.36161088363859
1572203472.3012273,915388295.1564441,114.42353689455551
1572203472.4017472,841830321.5892944,105.2287901986618
1572203472.50248,914580563.0437961,114.3225703804745
1572203472.6032157,913983191.3348039,114.24789891685049
1572203472.703972,915062802.8806232,114.38285036007791
1572203472.804732,914226672.1366719,114.27833401708398
1572203472.9055197,914585958.6497419,114.32324483121775
1572203473.0062838,915462971.6946679,114.4328714618335
1572203473.1070354,913887113.408954,114.23588917611926
1572203473.2077944,915427000.0400933,114.42837500501167
1572203473.3085744,914322749.082389,114.29034363529863
1572203473.408587,871392320.2814894,108.92404003518617
1572203473.5093381,889792302.1262953,111.22403776578692
1572203473.6096013,914253946.4999453,114.28174331249316
1572203473.7103658,914785942.4040962,114.34824280051203
1572203473.8111706,914294029.0311112,114.2867536288889
1572203473.9119346,914815439.0781265,114.35192988476582
1572203474.0122354,915602449.6519829,114.45030620649787
1572203474.1125133,877461368.7508583,109.6826710938573
1572203474.213244,917308495.9650457,114.66356199563072
1572203474.3140619,915021705.6515876,114.37771320644846
1572203474.4147925,914601475.018715,114.32518437733937
1572203474.5155447,915194998.8497652,114.39937485622063
1572203474.6162753,911186983.261473,113.89837290768412
1572203474.7170408,913864590.9638866,114.23307387048582
1572203474.8177764,913929823.9397135,114.24122799246419
1572203474.9185214,914618354.482536,114.327294310317
1572203475.019289,916236534.2251792,114.5295667781474
1572203475.1200535,890690395.9926273,111.33629949907841
1572203475.2203345,915319151.9260881,114.41489399076102
1572203475.320606,913622090.4633865,114.20276130792331
1572203475.4213371,914889011.5802763,114.36112644753455
1572203475.522098,915407448.4310992,114.4259310538874
1572203475.6223533,915049447.7674203,114.38118097092753
1572203475.72264,914084078.1745226,114.26050977181534
1572203475.8233795,915313766.3195403,114.41422078994253
1572203475.9266095,557253126.5629201,69.656640820365
1572203476.0293396,223987695.75881973,27.998461969852464
1572203476.1300757,182926522.4933565,22.865815311669564
1572203476.2318144,181016835.9672762,22.627104495909528
1572203476.332623,183229488.87722966,22.90368610965371
1572203476.4333844,164509879.44695994,20.56373493086999
1572203476.5341208,182663463.47554547,22.832932934443186
1572203476.6348798,165872340.1906799,20.734042523834987
1572203476.7356105,169763927.00346276,21.220490875432848
1572203476.836346,173752896.11466575,21.71911201433322
1572203476.9366405,177226229.2577199,22.153278657214987
1572203477.037376,176896576.67208976,22.11207208401122
1572203477.1381109,179386957.15148172,22.423369643935217
1572203477.2393827,182437555.56311843,22.804694445389803
1572203477.3396254,186224831.098866,23.278103887358245
1572203477.440356,183563737.64135432,22.945467205169294
1572203477.5411193,184173445.55573642,23.021680694467054
1572203477.641874,194288749.2632396,24.28609365790495
1572203477.7426412,180595070.88308,22.574383860385
1572203477.8433719,184700869.1041551,23.087608638019383
1572203477.9441075,193533443.41724336,24.19168042715542
1572203478.0448728,187885050.475866,23.485631309483246
1572203478.1466007,194222154.02363375,24.27776925295422
1572203478.247371,194600796.43561152,24.325099554451437
1572203478.3481016,202262076.80935395,25.282759601169246
1572203478.448838,190927012.385204,23.865876548150496
1572203478.5495796,409770162.71852434,51.22127033981555
1572203478.6498568,409379020.9592266,51.17237761990332
1572203478.7501671,410493493.5107004,51.31168668883755
1572203478.8504212,415643301.4585442,51.95541268231802
1572203478.951158,419474514.9362422,52.434314367030275
1572203479.0518882,421089048.86543447,52.636131108179306
1572203479.1526237,419574262.00151,52.446782750188746
1572203479.2533643,416097684.4627571,52.01221055784464
1572203479.3540945,424734669.24753785,53.09183365594223
1572203479.4548302,430512155.47366726,53.814019434208404
